"sample","fastq_1","fastq_2","run_accession","experiment_accession","sample_accession","secondary_sample_accession","study_accession","secondary_study_accession","submission_accession","run_alias","experiment_alias","sample_alias","study_alias","library_layout","library_selection","library_source","library_strategy","library_name","instrument_model","instrument_platform","base_count","read_count","tax_id","scientific_name","sample_title","experiment_title","study_title","sample_description","fastq_md5","fastq_bytes","fastq_ftp","fastq_galaxy","fastq_aspera"
"ERX1399902","ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/002/ERR1328282/ERR1328282.fastq.gz","","ERR1328282","ERX1399902","SAMEA3902964","ERS1090098","PRJEB13058","ERP014596","ERA582744","E-MTAB-4564:BS RNAi -tet poly A","E-MTAB-4564:BS RNAi -tet poly A","E-MTAB-4564:BS RNAi -tet poly A","E-MTAB-4564","SINGLE","RANDOM","TRANSCRIPTOMIC","RNA-Seq","BS RNAi -tet poly A","Illumina HiSeq 2000","ILLUMINA","1335918633","26194483","5691","Trypanosoma brucei","BS RNAi -tet poly A","Illumina HiSeq 2000 sequencing: Function of Trypanosome brucei RBP10","Function of Trypanosome brucei RBP10","Protocols: Various see sample notes rRNA depletion standard Illumina","a85ed15f4997eab30d78bc2c4fd5e88d","977757499","ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/002/ERR1328282/ERR1328282.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/002/ERR1328282/ERR1328282.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/ERR132/002/ERR1328282/ERR1328282.fastq.gz"
"ERX1399903","ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/003/ERR1328283/ERR1328283.fastq.gz","","ERR1328283","ERX1399903","SAMEA3902965","ERS1090099","PRJEB13058","ERP014596","ERA582744","E-MTAB-4564:BS RNAi -tet poly B","E-MTAB-4564:BS RNAi -tet poly B","E-MTAB-4564:BS RNAi -tet poly B","E-MTAB-4564","SINGLE","RANDOM","TRANSCRIPTOMIC","RNA-Seq","BS RNAi -tet poly B","Illumina HiSeq 2000","ILLUMINA","1609897875","31566625","5691","Trypanosoma brucei","BS RNAi -tet poly B","Illumina HiSeq 2000 sequencing: Function of Trypanosome brucei RBP10","Function of Trypanosome brucei RBP10","Protocols: Various see sample notes rRNA depletion standard Illumina","4323572de1300cff93778e8d862f428b","1169684151","ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/003/ERR1328283/ERR1328283.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/003/ERR1328283/ERR1328283.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/ERR132/003/ERR1328283/ERR1328283.fastq.gz"
"ERX1399904","ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/004/ERR1328284/ERR1328284.fastq.gz","","ERR1328284","ERX1399904","SAMEA3902966","ERS1090100","PRJEB13058","ERP014596","ERA582744","E-MTAB-4564:PC RBP10-Myc +tet free mono A","E-MTAB-4564:PC RBP10-Myc +tet free mono A","E-MTAB-4564:PC RBP10-Myc +tet free mono A","E-MTAB-4564","SINGLE","RANDOM","TRANSCRIPTOMIC","RNA-Seq","PC RBP10-Myc +tet free mono A","Illumina HiSeq 2000","ILLUMINA","1312354900","26247098","5691","Trypanosoma brucei","PC RBP10-Myc +tet free mono A","Illumina HiSeq 2000 sequencing: Function of Trypanosome brucei RBP10","Function of Trypanosome brucei RBP10","Protocols: Various see sample notes rRNA depletion standard Illumina","028c3251f292d3627b7817037a5f408b","1158224318","ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/004/ERR1328284/ERR1328284.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/004/ERR1328284/ERR1328284.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/ERR132/004/ERR1328284/ERR1328284.fastq.gz"
"ERX1399905","ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/005/ERR1328285/ERR1328285.fastq.gz","","ERR1328285","ERX1399905","SAMEA3902967","ERS1090101","PRJEB13058","ERP014596","ERA582744","E-MTAB-4564:PC RBP10-Myc +tet free mono B","E-MTAB-4564:PC RBP10-Myc +tet free mono B","E-MTAB-4564:PC RBP10-Myc +tet free mono B","E-MTAB-4564","SINGLE","RANDOM","TRANSCRIPTOMIC","RNA-Seq","PC RBP10-Myc +tet free mono B","Illumina HiSeq 2000","ILLUMINA","1847986900","36959738","5691","Trypanosoma brucei","PC RBP10-Myc +tet free mono B","Illumina HiSeq 2000 sequencing: Function of Trypanosome brucei RBP10","Function of Trypanosome brucei RBP10","Protocols: Various see sample notes rRNA depletion standard Illumina","6dedc4c72da640cb97aa9d86f6561de0","1626795183","ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/005/ERR1328285/ERR1328285.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/005/ERR1328285/ERR1328285.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/ERR132/005/ERR1328285/ERR1328285.fastq.gz"
"ERX1399906","ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/006/ERR1328286/ERR1328286.fastq.gz","","ERR1328286","ERX1399906","SAMEA3902968","ERS1090102","PRJEB13058","ERP014596","ERA582744","E-MTAB-4564:PC RBP10-Myc +tet input A","E-MTAB-4564:PC RBP10-Myc +tet input A","E-MTAB-4564:PC RBP10-Myc +tet input A","E-MTAB-4564","SINGLE","RANDOM","TRANSCRIPTOMIC","RNA-Seq","PC RBP10-Myc +tet input A","Illumina HiSeq 2000","ILLUMINA","1509952700","30199054","5691","Trypanosoma brucei","PC RBP10-Myc +tet input A","Illumina HiSeq 2000 sequencing: Function of Trypanosome brucei RBP10","Function of Trypanosome brucei RBP10","Protocols: Various see sample notes rRNA depletion standard Illumina","4a22dfe1d42aba1d2bf437bb72e5a7c1","1353919495","ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/006/ERR1328286/ERR1328286.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/006/ERR1328286/ERR1328286.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/ERR132/006/ERR1328286/ERR1328286.fastq.gz"
"ERX1399907","ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/007/ERR1328287/ERR1328287.fastq.gz","","ERR1328287","ERX1399907","SAMEA3902969","ERS1090103","PRJEB13058","ERP014596","ERA582744","E-MTAB-4564:PC RBP10-Myc +tet input B","E-MTAB-4564:PC RBP10-Myc +tet input B","E-MTAB-4564:PC RBP10-Myc +tet input B","E-MTAB-4564","SINGLE","RANDOM","TRANSCRIPTOMIC","RNA-Seq","PC RBP10-Myc +tet input B","Illumina HiSeq 2000","ILLUMINA","1046333450","20926669","5691","Trypanosoma brucei","PC RBP10-Myc +tet input B","Illumina HiSeq 2000 sequencing: Function of Trypanosome brucei RBP10","Function of Trypanosome brucei RBP10","Protocols: Various see sample notes rRNA depletion standard Illumina","3c3d5205439ecfa7e94c87e8e4b50dbb","941289556","ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/007/ERR1328287/ERR1328287.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/007/ERR1328287/ERR1328287.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/ERR132/007/ERR1328287/ERR1328287.fastq.gz"
"ERX1399908","ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/008/ERR1328288/ERR1328288.fastq.gz","","ERR1328288","ERX1399908","SAMEA3902970","ERS1090104","PRJEB13058","ERP014596","ERA582744","E-MTAB-4564:PC RBP10-Myc +tet poly A","E-MTAB-4564:PC RBP10-Myc +tet poly A","E-MTAB-4564:PC RBP10-Myc +tet poly A","E-MTAB-4564","SINGLE","RANDOM","TRANSCRIPTOMIC","RNA-Seq","PC RBP10-Myc +tet poly A","Illumina HiSeq 2000","ILLUMINA","2161884150","43237683","5691","Trypanosoma brucei","PC RBP10-Myc +tet poly A","Illumina HiSeq 2000 sequencing: Function of Trypanosome brucei RBP10","Function of Trypanosome brucei RBP10","Protocols: Various see sample notes rRNA depletion standard Illumina","d82b8f1372d48ef81b79ebc3217150e6","1936217235","ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/008/ERR1328288/ERR1328288.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/008/ERR1328288/ERR1328288.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/ERR132/008/ERR1328288/ERR1328288.fastq.gz"
"ERX1399909","ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/009/ERR1328289/ERR1328289.fastq.gz","","ERR1328289","ERX1399909","SAMEA3902971","ERS1090105","PRJEB13058","ERP014596","ERA582744","E-MTAB-4564:PC RBP10-Myc +tet poly B","E-MTAB-4564:PC RBP10-Myc +tet poly B","E-MTAB-4564:PC RBP10-Myc +tet poly B","E-MTAB-4564","SINGLE","RANDOM","TRANSCRIPTOMIC","RNA-Seq","PC RBP10-Myc +tet poly B","Illumina HiSeq 2000","ILLUMINA","3092621600","61852432","5691","Trypanosoma brucei","PC RBP10-Myc +tet poly B","Illumina HiSeq 2000 sequencing: Function of Trypanosome brucei RBP10","Function of Trypanosome brucei RBP10","Protocols: Various see sample notes rRNA depletion standard Illumina","301e019e00a3f0ce9589b352949e7ba5","2764183661","ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/009/ERR1328289/ERR1328289.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/009/ERR1328289/ERR1328289.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/ERR132/009/ERR1328289/ERR1328289.fastq.gz"
"ERX1399910","ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/000/ERR1328290/ERR1328290.fastq.gz","","ERR1328290","ERX1399910","SAMEA3902972","ERS1090106","PRJEB13058","ERP014596","ERA582744","E-MTAB-4564:PC RBP10-Myc -tet free mono A","E-MTAB-4564:PC RBP10-Myc -tet free mono A","E-MTAB-4564:PC RBP10-Myc -tet free mono A","E-MTAB-4564","SINGLE","RANDOM","TRANSCRIPTOMIC","RNA-Seq","PC RBP10-Myc -tet free mono A","Illumina HiSeq 2000","ILLUMINA","1501888550","30037771","5691","Trypanosoma brucei","PC RBP10-Myc -tet free mono A","Illumina HiSeq 2000 sequencing: Function of Trypanosome brucei RBP10","Function of Trypanosome brucei RBP10","Protocols: Various see sample notes rRNA depletion standard Illumina","ed570e88dfe629d0dbe5069d79b63606","1329256899","ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/000/ERR1328290/ERR1328290.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/000/ERR1328290/ERR1328290.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/ERR132/000/ERR1328290/ERR1328290.fastq.gz"
"ERX1399911","ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/001/ERR1328291/ERR1328291.fastq.gz","","ERR1328291","ERX1399911","SAMEA3902973","ERS1090107","PRJEB13058","ERP014596","ERA582744","E-MTAB-4564:PC RBP10-Myc -tet free mono B","E-MTAB-4564:PC RBP10-Myc -tet free mono B","E-MTAB-4564:PC RBP10-Myc -tet free mono B","E-MTAB-4564","SINGLE","RANDOM","TRANSCRIPTOMIC","RNA-Seq","PC RBP10-Myc -tet free mono B","Illumina HiSeq 2000","ILLUMINA","1585255050","31705101","5691","Trypanosoma brucei","PC RBP10-Myc -tet free mono B","Illumina HiSeq 2000 sequencing: Function of Trypanosome brucei RBP10","Function of Trypanosome brucei RBP10","Protocols: Various see sample notes rRNA depletion standard Illumina","101f2877562f3f3084d9c28b6e3b2171","1392192912","ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/001/ERR1328291/ERR1328291.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/001/ERR1328291/ERR1328291.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/ERR132/001/ERR1328291/ERR1328291.fastq.gz"
"ERX1399912","ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/002/ERR1328292/ERR1328292.fastq.gz","","ERR1328292","ERX1399912","SAMEA3902974","ERS1090108","PRJEB13058","ERP014596","ERA582744","E-MTAB-4564:PC RBP10-Myc -tet input A","E-MTAB-4564:PC RBP10-Myc -tet input A","E-MTAB-4564:PC RBP10-Myc -tet input A","E-MTAB-4564","SINGLE","RANDOM","TRANSCRIPTOMIC","RNA-Seq","PC RBP10-Myc -tet input A","Illumina HiSeq 2000","ILLUMINA","2453958800","49079176","5691","Trypanosoma brucei","PC RBP10-Myc -tet input A","Illumina HiSeq 2000 sequencing: Function of Trypanosome brucei RBP10","Function of Trypanosome brucei RBP10","Protocols: Various see sample notes rRNA depletion standard Illumina","c10b3e3aa54c21df4df25542c643bc8a","2219946787","ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/002/ERR1328292/ERR1328292.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/002/ERR1328292/ERR1328292.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/ERR132/002/ERR1328292/ERR1328292.fastq.gz"
"ERX1399913","ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/003/ERR1328293/ERR1328293.fastq.gz","","ERR1328293","ERX1399913","SAMEA3902975","ERS1090109","PRJEB13058","ERP014596","ERA582744","E-MTAB-4564:PC RBP10-Myc -tet input B","E-MTAB-4564:PC RBP10-Myc -tet input B","E-MTAB-4564:PC RBP10-Myc -tet input B","E-MTAB-4564","SINGLE","RANDOM","TRANSCRIPTOMIC","RNA-Seq","PC RBP10-Myc -tet input B","Illumina HiSeq 2000","ILLUMINA","2880171750","57603435","5691","Trypanosoma brucei","PC RBP10-Myc -tet input B","Illumina HiSeq 2000 sequencing: Function of Trypanosome brucei RBP10","Function of Trypanosome brucei RBP10","Protocols: Various see sample notes rRNA depletion standard Illumina","810ea247d043bf3d4f4609e365725def","2625368936","ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/003/ERR1328293/ERR1328293.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/003/ERR1328293/ERR1328293.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/ERR132/003/ERR1328293/ERR1328293.fastq.gz"
"ERX1399914","ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/004/ERR1328294/ERR1328294.fastq.gz","","ERR1328294","ERX1399914","SAMEA3902976","ERS1090110","PRJEB13058","ERP014596","ERA582744","E-MTAB-4564:PC RBP10-Myc -tet poly A","E-MTAB-4564:PC RBP10-Myc -tet poly A","E-MTAB-4564:PC RBP10-Myc -tet poly A","E-MTAB-4564","SINGLE","RANDOM","TRANSCRIPTOMIC","RNA-Seq","PC RBP10-Myc -tet poly A","Illumina HiSeq 2000","ILLUMINA","1708558100","34171162","5691","Trypanosoma brucei","PC RBP10-Myc -tet poly A","Illumina HiSeq 2000 sequencing: Function of Trypanosome brucei RBP10","Function of Trypanosome brucei RBP10","Protocols: Various see sample notes rRNA depletion standard Illumina","aa571ede78d2934c2186af678d396774","1523942219","ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/004/ERR1328294/ERR1328294.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/004/ERR1328294/ERR1328294.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/ERR132/004/ERR1328294/ERR1328294.fastq.gz"
